date,montant,station,nom_banque
2024-03-03,1629450,ETOA,"AFRILAND YDE"
2024-03-04,5963725,NKOLAFAMBA,"AFRILAND YDE"
2024-03-11,2329300,ETOA,"AFRILAND YDE"
2024-03-06,2317425,NKOLNDA,"AFRILAND YDE"
2024-03-03,1207175,NKOZOA,"AFRILAND YDE"
2024-03-11,2494825,NKOZOA,"AFRILAND YDE"
2024-03-08,317000,KRIBIPARC,"AFRILAND YDE"
2024-03-05,3689500,11EMEARRET,"AFRILAND YDE"
2024-03-07,874650,KUMBA,"AFRILAND YDE"
2024-03-05,3093000,ODZA,"AFRILAND YDE"
2024-03-09,104500,MABANDA,"AFRILAND YDE"
2024-03-01,1658230,YAKOMBO,"AFRILAND YDE"
2024-03-04,3202375,BIS11EME,"AFRILAND YDE"
2024-03-02,2246600,MEHANDAN,"AFRILAND YDE"
2024-03-10,1964350,MEHANDAN,"AFRILAND YDE"
2024-03-08,5190800,YASSA,"AFRILAND YDE"
2024-03-06,1423000,MFOMAKAP,"AFRILAND YDE"
2024-03-05,3447725,YASSASTADE,"AFRILAND YDE"
2024-03-02,4864000,YATCHIKA,"AFRILAND YDE"
2024-03-03,1013600,LIMBE,"BICEC 2"
2024-03-11,0,LIMBE,"BICEC 2"
2024-03-04,2612300,BEPANDA,"BICEC 2"
2024-03-08,3601000,LOUM,"BICEC 2"
2024-03-09,3280650,SICCACAO,"BICEC 2"
2024-03-05,3404290,YAKOMBO,"BICEC 2"
2024-03-05,2571525,BILONGUE,"BICEC 2"
2024-03-08,14453025,YAPAKI,"BICEC 2"
2024-03-06,2963300,BONENDALE,"BICEC 2"
2024-03-08,505800,LIMBE,"BICEC 2"
2024-03-01,2779175,BEPANDA,"BICEC 2"
2024-03-05,2359500,LOUM,"BICEC 2"
2024-03-09,2451150,BEPANDA,"BICEC 2"
2024-03-02,3791450,YAKOMBO,"BICEC 2"
2024-03-09,3900600,YAKOMBO,"BICEC 2"
2024-03-10,1150675,BILONGUE,"BICEC 2"
2024-03-05,4367400,YAPAKI,"BICEC 2"
2024-03-03,2688550,BONENDALE,"BICEC 2"
2024-03-11,2546175,BONENDALE,"BICEC 2"
2024-03-05,1238000,LIMBE,"BICEC 2"
2024-03-02,2398000,LOUM,"BICEC 2"
